Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,ActualStatus,PredictedStatus
4,39,1,9130,1,1,133.1,1,3,1,5,5,110.0,1,0,0,1,0,1,30,0,6,7,0,0.0,6,16,1,10.0,11.1,0.6,2.02,Dropout,Dropout
1,17,1,9238,1,1,125.0,1,4,3,1,1,119.8,0,0,0,1,0,0,18,0,6,9,5,11.571428571428571,6,8,6,12.142857142857142,16.2,0.3,-0.92,Graduate,Graduate
1,17,1,9853,1,1,133.0,1,38,38,9,9,127.4,0,0,1,1,0,1,18,0,7,7,7,12.714285714285714,7,7,7,12.285714285714286,16.2,0.3,-0.92,Graduate,Graduate
1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,6,8,6,13.857142857142858,6,8,5,13.0,15.5,2.8,-4.06,Graduate,Enrolled
1,39,1,9500,1,1,130.0,1,37,19,9,8,106.2,1,0,0,1,0,0,27,0,7,14,0,0.0,7,14,0,0.0,11.1,0.6,2.02,Dropout,Dropout
1,39,1,8014,0,15,170.0,1,34,1,90,2,101.0,0,0,0,1,0,0,32,0,6,9,4,12.0,6,12,4,11.5,7.6,2.6,0.32,Graduate,Graduate
1,1,1,9773,1,1,143.0,1,3,3,2,5,144.8,0,0,0,1,0,0,19,0,6,6,6,12.166666666666666,6,6,6,12.5,16.2,0.3,-0.92,Enrolled,Graduate
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,9,12,9,13.454545454545457,7,9,6,13.875,11.1,0.6,2.02,Dropout,Graduate
1,17,5,9500,1,1,147.0,1,19,1,4,3,138.5,1,0,0,1,0,0,19,0,8,8,8,14.34125,8,8,8,14.34125,9.4,-0.8,-3.12,Graduate,Graduate
1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,7,7,7,13.7,8,9,7,14.671428571428574,12.4,0.5,1.79,Graduate,Graduate
1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,7,12,7,11.716666666666663,8,13,4,10.868,15.5,2.8,-4.06,Graduate,Enrolled
1,1,2,9500,1,1,140.0,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,7,7,6,12.766666666666666,7,7,6,12.766666666666666,7.6,2.6,0.32,Graduate,Graduate
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,7,8,6,14.35,8,10,6,14.583333333333334,16.2,0.3,-0.92,Dropout,Graduate
1,1,2,9500,1,1,137.0,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,8,8,7,14.654285714285717,8,8,7,14.654285714285717,10.8,1.4,1.74,Graduate,Graduate
1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,6,7,6,11.666666666666666,6,6,6,12.333333333333334,13.9,-0.3,0.79,Dropout,Graduate
5,1,3,9085,1,1,133.0,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,5,13,5,12.2,5,10,3,11.333333333333334,9.4,-0.8,-3.12,Enrolled,Enrolled
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12,Enrolled,Graduate
1,1,1,171,1,1,156.0,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,12,12,12,15.333333333333334,11,15,11,15.0,8.9,1.4,3.51,Graduate,Graduate
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,5,7,2,10.0,5,9,1,12.0,9.4,-0.8,-3.12,Enrolled,Dropout
1,1,2,9670,1,1,120.0,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,6,8,5,13.0,6,8,5,14.0,13.9,-0.3,0.79,Graduate,Graduate
1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,6,6,6,13.666666666666666,6,6,6,13.0,10.8,1.4,1.74,Graduate,Graduate
1,39,1,9238,1,19,133.1,1,37,37,9,9,139.0,0,0,1,0,1,0,33,0,6,8,0,0.0,5,6,0,0.0,16.2,0.3,-0.92,Dropout,Dropout
1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,6,7,0,0.0,6,6,0,0.0,13.9,-0.3,0.79,Dropout,Dropout
1,1,1,9238,1,1,136.0,1,19,38,9,9,121.7,0,1,0,1,0,1,20,0,6,9,6,11.875,6,7,6,14.428571428571429,16.2,0.3,-0.92,Graduate,Graduate
1,17,1,9003,1,1,133.0,1,38,37,9,9,125.3,1,0,0,1,0,0,21,0,18,22,18,11.88888888888889,13,13,13,11.461538461538462,15.5,2.8,-4.06,Graduate,Graduate
1,1,1,9670,1,1,122.0,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,6,8,6,14.625,6,9,6,14.142857142857142,11.1,0.6,2.02,Enrolled,Graduate
6,17,3,8014,0,1,115.0,1,19,1,5,90,115.0,0,0,0,0,0,0,24,0,5,5,0,0.0,5,10,0,0.0,10.8,1.4,1.74,Dropout,Dropout
1,43,1,8014,0,1,148.0,1,37,37,9,9,134.7,0,0,0,1,0,0,23,0,13,15,9,11.0,11,12,7,11.571428571428571,15.5,2.8,-4.06,Enrolled,Graduate
1,1,1,9147,1,1,129.0,1,37,38,4,9,121.0,1,0,0,1,0,0,18,0,5,8,2,10.5,5,7,3,12.333333333333334,7.6,2.6,0.32,Enrolled,Dropout
1,17,2,9773,1,1,120.0,1,1,1,2,5,127.0,1,0,0,0,1,0,18,0,6,6,0,0.0,6,0,0,0.0,8.9,1.4,3.51,Dropout,Dropout
1,44,1,9085,1,39,140.0,1,3,38,2,9,140.0,1,0,0,1,0,0,21,0,12,18,8,12.25,12,27,8,12.2,12.4,0.5,1.79,Enrolled,Graduate
1,1,3,9773,1,1,142.0,1,34,1,5,10,136.1,1,0,0,0,1,0,19,0,4,8,0,0.0,6,0,0,0.0,9.4,-0.8,-3.12,Dropout,Dropout
2,51,1,9500,1,1,130.0,1,37,37,5,5,120.0,0,0,0,1,1,0,44,0,7,11,5,12.1,7,10,5,12.6,11.1,0.6,2.02,Dropout,Enrolled
1,1,3,9773,1,1,149.0,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,4,4,0,0.0,4,8,0,0.0,10.8,1.4,1.74,Dropout,Dropout
1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,6,0,0,0.0,6,0,0,0.0,10.8,1.4,1.74,Dropout,Dropout
1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,5,6,3,11.666666666666666,5,6,4,13.5,7.6,2.6,0.32,Enrolled,Enrolled
1,1,1,9238,1,1,151.0,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,6,8,6,14.25,6,8,6,11.0,12.7,3.7,-1.7,Graduate,Graduate
1,1,1,9147,1,1,127.0,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,5,8,5,11.6,5,10,4,13.5,16.2,0.3,-0.92,Graduate,Enrolled
1,1,1,9670,1,1,141.0,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,6,8,6,14.0,6,7,6,13.142857142857142,11.1,0.6,2.02,Graduate,Graduate
1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,5,10,1,13.0,5,8,3,15.333333333333334,12.7,3.7,-1.7,Enrolled,Graduate
1,1,1,9085,1,1,123.0,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,5,5,0,0.0,5,5,0,0.0,7.6,2.6,0.32,Dropout,Dropout
1,17,1,9147,1,1,120.0,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,5,13,1,10.0,5,5,1,10.0,12.7,3.7,-1.7,Dropout,Dropout
1,16,1,9085,1,1,140.0,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,5,8,4,13.25,5,10,4,10.5,12.7,3.7,-1.7,Graduate,Enrolled
1,17,4,9085,1,1,126.0,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,6,0,0,0.0,6,0,0,0.0,10.8,1.4,1.74,Dropout,Dropout
1,1,5,9500,1,1,144.0,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,7,0,0,0.0,8,0,0,0.0,9.4,-0.8,-3.12,Dropout,Dropout
1,1,6,9119,1,1,126.0,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,5,6,5,14.0,5,7,5,13.8,8.9,1.4,3.51,Graduate,Graduate
1,1,1,9238,1,1,168.0,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,6,10,6,17.0,6,11,6,16.0,12.4,0.5,1.79,Graduate,Graduate
1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,12,13,12,11.23076923076923,11,18,9,12.77777777777778,11.1,0.6,2.02,Graduate,Enrolled
1,17,2,9500,1,1,130.0,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,8,8,7,13.937142857142858,8,8,7,13.937142857142858,10.8,1.4,1.74,Graduate,Graduate
1,1,4,9500,1,1,144.0,1,3,39,2,3,129.0,1,0,0,1,0,0,18,0,7,8,7,12.65,8,9,8,13.411111111111111,16.2,0.3,-0.92,Dropout,Graduate
1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,5,9,4,11.6,5,7,4,12.25,7.6,2.6,0.32,Enrolled,Enrolled
1,17,2,9773,1,1,126.0,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,6,6,6,14.166666666666666,6,6,6,13.666666666666666,12.4,0.5,1.79,Graduate,Graduate
1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,8,10,1,13.67,8,10,1,13.67,9.4,-0.8,-3.12,Enrolled,Graduate
1,17,2,9556,1,1,133.1,1,37,38,9,8,106.0,1,0,0,1,0,0,19,0,7,16,2,12.75,7,12,2,11.0,8.9,1.4,3.51,Dropout,Graduate
1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,5,10,4,14.25,5,14,1,10.0,8.9,1.4,3.51,Enrolled,Enrolled
2,39,2,8014,0,1,100.0,1,34,34,0,0,100.0,1,0,0,1,0,0,41,0,6,9,5,11.8,6,10,3,10.666666666666666,7.6,2.6,0.32,Graduate,Graduate
1,17,1,9670,1,1,149.0,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,6,7,6,12.666666666666666,6,9,6,13.77777777777778,10.8,1.4,1.74,Graduate,Graduate
1,1,3,9085,1,1,142.0,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,5,5,5,15.2,5,6,5,13.2,7.6,2.6,0.32,Graduate,Graduate
1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,7,7,6,13.966666666666669,7,7,6,13.966666666666669,7.6,2.6,0.32,Graduate,Graduate
1,1,1,9773,1,1,133.1,1,1,3,9,9,116.0,0,0,0,1,1,0,20,0,6,8,6,11.5,6,8,6,11.0,16.2,0.3,-0.92,Graduate,Enrolled
1,1,6,171,1,1,134.0,1,19,37,5,5,126.0,1,0,0,1,0,1,18,0,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12,Graduate,Enrolled
1,7,1,9773,1,43,140.0,1,19,1,4,8,140.0,0,0,0,1,1,0,25,0,6,6,6,14.666666666666666,6,6,6,13.5,11.1,0.6,2.02,Graduate,Graduate
1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,7,9,7,15.155555555555557,8,8,8,16.8,12.7,3.7,-1.7,Graduate,Graduate
1,1,2,9500,1,1,124.0,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,8,8,7,14.901428571428571,8,8,7,14.901428571428571,9.4,-0.8,-3.12,Dropout,Graduate
1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,6,6,6,12.333333333333334,6,7,6,11.833333333333334,13.9,-0.3,0.79,Graduate,Graduate
1,17,2,9556,1,1,136.0,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,7,7,7,13.428571428571429,8,8,8,14.75,15.5,2.8,-4.06,Graduate,Graduate
1,1,1,9773,1,1,122.0,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,6,6,6,12.833333333333334,6,6,6,13.833333333333334,8.9,1.4,3.51,Graduate,Graduate
1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,5,11,4,11.571428571428571,5,9,5,12.0,13.9,-0.3,0.79,Enrolled,Graduate
1,1,5,9147,1,1,133.0,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,5,14,4,11.0,5,9,5,10.5,13.9,-0.3,0.79,Dropout,Enrolled
4,39,1,9500,1,1,133.1,1,37,37,9,9,130.0,0,0,1,1,0,0,38,0,7,13,3,11.833333333333334,7,14,2,10.0,16.2,0.3,-0.92,Dropout,Dropout
1,1,1,9238,1,1,125.0,1,1,1,3,3,125.7,1,0,0,1,0,0,18,0,6,10,6,11.571428571428571,6,8,6,12.333333333333334,12.4,0.5,1.79,Graduate,Graduate
1,17,1,9085,1,1,128.0,1,2,19,2,4,123.3,1,0,0,1,0,1,20,0,6,6,6,14.833333333333334,6,8,6,12.142857142857142,8.9,1.4,3.51,Graduate,Graduate
1,17,2,9773,1,1,123.0,1,1,1,3,3,120.9,1,0,0,1,0,0,18,0,6,0,0,0.0,6,0,0,0.0,13.9,-0.3,0.79,Dropout,Dropout
1,44,1,9003,1,1,140.0,1,1,1,4,5,140.0,0,0,0,1,1,0,20,0,6,11,6,11.285714285714286,6,12,5,11.77777777777778,16.2,0.3,-0.92,Enrolled,Graduate
1,44,1,9003,1,39,140.0,1,19,38,3,9,140.0,1,0,0,1,1,0,21,0,6,7,6,12.857142857142858,6,6,6,13.166666666666666,12.4,0.5,1.79,Graduate,Graduate
1,1,1,171,1,1,163.0,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12,Graduate,Graduate
1,1,4,9500,1,1,135.0,1,38,37,9,8,126.3,1,0,0,1,0,1,19,0,7,7,6,15.433333333333332,7,7,6,15.433333333333332,7.6,2.6,0.32,Graduate,Graduate
1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,10,19,8,11.625,10,16,10,11.181818181818182,7.6,2.6,0.32,Graduate,Graduate
1,43,1,9500,1,1,121.0,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,8,8,7,11.971428571428572,8,8,7,11.971428571428572,12.7,3.7,-1.7,Enrolled,Graduate
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,7,8,7,13.30625,8,8,8,14.545,15.5,2.8,-4.06,Graduate,Graduate
1,17,1,9773,1,1,128.0,1,19,38,5,7,125.6,1,0,0,1,1,0,19,0,6,6,0,0.0,6,0,0,0.0,8.9,1.4,3.51,Dropout,Dropout
1,7,1,9070,1,3,133.1,1,3,5,2,2,120.0,1,0,0,1,0,0,32,0,3,3,2,16.0,3,3,1,16.0,7.6,2.6,0.32,Dropout,Graduate
1,43,2,9500,1,6,119.1,1,1,19,4,10,119.1,0,0,0,1,1,0,22,0,7,7,6,12.733333333333334,7,7,6,12.733333333333334,7.6,2.6,0.32,Graduate,Graduate
1,1,3,9500,1,1,139.0,1,18,18,1,1,130.8,1,0,0,0,0,0,18,0,8,9,6,12.758333333333333,8,9,6,12.758333333333333,9.4,-0.8,-3.12,Dropout,Dropout
1,17,2,8014,0,1,122.0,1,37,19,9,9,123.8,0,0,0,1,0,0,20,0,6,8,5,12.0,6,8,6,11.0,10.8,1.4,1.74,Graduate,Graduate
1,39,1,9991,0,1,120.0,1,38,38,3,3,140.0,0,0,0,1,0,0,25,0,5,11,3,10.666666666666666,5,11,3,11.333333333333334,15.5,2.8,-4.06,Enrolled,Enrolled
1,17,1,9238,1,1,128.0,1,19,1,0,5,122.1,1,0,0,1,0,0,18,0,6,9,5,11.833333333333334,6,7,5,13.8,13.9,-0.3,0.79,Graduate,Graduate
1,1,6,9147,1,1,112.0,1,38,38,9,9,117.3,1,0,0,1,0,0,20,0,5,8,4,12.0,5,8,5,11.2,11.1,0.6,2.02,Graduate,Graduate
1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,5,6,5,12.4,5,6,5,13.4,7.6,2.6,0.32,Graduate,Graduate
1,1,1,9147,1,1,158.0,1,1,38,3,6,155.2,0,0,0,1,1,1,18,0,5,5,5,11.8,5,8,3,11.0,9.4,-0.8,-3.12,Graduate,Graduate
1,39,1,9991,0,1,110.0,1,37,37,9,9,139.0,0,0,0,1,1,0,40,0,5,0,0,0.0,5,0,0,0.0,12.7,3.7,-1.7,Dropout,Dropout
1,17,3,9853,1,1,138.0,1,37,37,5,9,125.1,1,1,0,1,0,1,19,0,6,6,6,13.5,6,8,5,12.8,12.7,3.7,-1.7,Dropout,Graduate
1,1,3,9500,1,1,154.0,1,1,37,4,9,134.8,1,0,0,1,0,0,19,0,7,7,6,13.533333333333331,7,7,6,13.533333333333331,7.6,2.6,0.32,Graduate,Graduate
2,43,1,8014,0,1,130.0,1,34,34,0,0,130.0,0,0,0,1,0,0,45,0,12,12,9,12.444444444444445,7,8,6,12.0,9.4,-0.8,-3.12,Dropout,Graduate
1,17,1,9853,1,1,120.0,1,37,37,9,10,122.6,0,0,0,1,0,0,20,0,6,8,3,12.333333333333334,6,11,2,10.5,12.7,3.7,-1.7,Dropout,Enrolled
1,17,1,9254,1,1,128.0,1,19,1,5,7,120.7,1,0,1,1,0,0,18,0,6,8,6,11.666666666666666,6,10,4,11.5,13.9,-0.3,0.79,Graduate,Dropout
2,39,1,9500,1,1,100.0,1,37,38,4,4,130.0,0,0,0,1,1,1,33,0,8,16,1,10.0,8,16,1,10.0,12.7,3.7,-1.7,Enrolled,Dropout
1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,6,9,5,13.6,6,8,5,12.0,12.7,3.7,-1.7,Dropout,Enrolled
2,7,1,9130,1,2,110.0,1,19,19,4,8,110.0,1,0,0,1,1,0,37,0,6,9,0,0.0,6,6,0,0.0,16.2,0.3,-0.92,Dropout,Dropout
1,7,1,9254,1,3,110.0,1,19,19,3,3,110.0,0,0,0,1,1,0,35,0,6,7,0,0.0,6,6,0,0.0,16.2,0.3,-0.92,Dropout,Dropout
1,44,1,9003,1,39,160.0,1,38,38,6,6,160.0,1,0,0,1,0,0,21,0,6,11,6,13.428571428571429,6,12,6,12.857142857142858,15.5,2.8,-4.06,Graduate,Graduate
1,43,1,9853,1,1,140.0,1,37,37,6,6,125.2,0,0,1,1,0,0,41,0,21,23,21,12.333333333333334,19,19,19,12.105263157894736,12.4,0.5,1.79,Graduate,Graduate
1,44,1,9085,1,1,140.0,1,4,4,2,6,140.0,0,0,0,1,0,0,22,0,6,9,6,13.333333333333334,6,9,4,11.5,13.9,-0.3,0.79,Graduate,Enrolled
1,39,1,9773,1,19,133.1,1,19,1,7,9,115.0,1,0,1,0,1,0,25,0,6,10,4,13.0,6,9,4,13.75,12.7,3.7,-1.7,Dropout,Dropout
1,39,1,9119,1,19,133.1,1,1,19,4,5,100.0,0,0,0,1,1,0,25,0,5,13,1,11.0,5,11,1,10.0,13.9,-0.3,0.79,Enrolled,Dropout
1,5,1,9853,1,1,119.0,1,1,38,5,8,118.3,1,0,0,1,0,0,22,0,6,11,3,15.0,6,11,4,10.25,9.4,-0.8,-3.12,Enrolled,Enrolled
